e,e,0.64,3.26,7.02,10.70,22.38,38.28,41.19,41.31,40.70,39.57,37.67,35.44,34.19,31.97,29.82,30.31,35.00,37.07,39.25,46.88,51.16,55.68,59.83,61.49,62.92,64.07,65.28,67.20,69.09,70.90,73.00,75.06,77.11,78.94,81.30,84.38,87.61,90.59,93.15,94.26,94.57,96.51,99.69,101.88,103.77,105.56,107.29,109.14,110.87,112.49,113.93,115.66,117.48,119.28,121.44,123.70,125.96,128.15,130.42,132.24,133.91,135.85,138.03,140.36,142.53,144.64,147.22,149.78,152.41,155.17,157.93,160.57,162.75,164.92,167.20,169.47,171.41,173.17,175.10,177.14,179.18,181.51,184.13,186.79,189.38,192.35,196.82,200.55,202.71,204.73,206.62,208.45,210.27,212.53,214.51,216.70,218.74,221.02,223.14,225.11,227.07,228.98,231.06,233.40,235.63,237.67,239.13,241.42,244.35,247.18,248.93,248.91,248.45,248.88,250.52,252.72,255.82,257.99,259.44,260.88,262.24,264.02,266.07,268.17,270.31,272.40,274.40,276.25,278.19,280.22,282.27,284.21,285.94,287.53,289.05,290.39,291.78,293.49,295.96,298.80,301.65,303.32,303.94,304.50,305.71,306.62,306.25,305.50,307.01,308.09,308.43,308.87,309.46,309.70,311.88,314.12,316.10,315.40,315.71,316.57,317.53,320.23,326.43,332.50,335.34,337.10,336.67,338.58,339.99,341.86,344.98,348.36,351.83,355.28,358.35,361.47,364.88,368.22,371.51,374.83,378.98,394.05,409.24,410.90,409.26,396.64,394.32,397.98,401.50,404.59,406.83,408.56,410.05,411.14,413.06,415.41,417.56,418.88,420.37,423.32,426.77,430.32,432.25,432.75,430.97,433.25,435.60,436.79,438.41,440.01,439.50,439.28,438.54,439.75,441.63,440.91,437.61,431.94,431.87,432.75,434.28,438.52,443.30,448.01,454.93,461.09,465.64,467.19,469.50,471.91,475.32,481.40,488.64,493.26,495.31,496.43,494.81,488.94,486.01,490.66,492.49,493.06,493.03,492.28,489.61,483.93,476.35,477.60,481.92,485.37,489.47,494.39,501.75,510.64
e,e,0.73,3.03,4.26,6.88,12.67,23.97,34.95,35.96,34.84,35.47,35.01,32.98,31.53,29.49,27.17,27.89,35.19,42.28,48.61,51.84,53.79,57.31,59.37,60.98,62.72,64.19,65.73,67.30,68.73,70.25,72.18,74.19,76.21,78.33,80.77,83.92,87.11,90.05,91.90,91.40,90.90,93.99,97.97,100.42,102.17,103.89,105.67,107.46,109.12,110.53,112.06,113.81,115.80,118.00,120.15,122.29,124.49,126.72,128.86,130.45,132.45,134.89,137.49,139.93,142.00,144.00,146.41,148.72,150.96,153.75,156.62,159.33,161.62,163.88,166.21,168.55,170.39,172.04,174.06,176.11,178.19,180.43,183.04,185.66,188.20,191.46,196.42,200.75,202.79,204.09,205.70,207.46,209.22,211.10,213.01,215.01,217.38,219.83,221.91,223.86,225.59,227.10,229.00,231.34,233.57,235.62,237.38,239.46,241.93,243.36,244.53,244.89,245.25,246.52,248.34,250.55,253.33,255.22,256.86,258.25,259.85,261.86,264.01,266.08,268.15,270.17,271.98,273.49,275.53,277.88,280.36,282.27,283.90,285.50,287.00,288.10,289.15,290.51,292.57,294.98,297.49,299.37,300.29,301.07,302.26,302.76,301.68,302.65,305.25,305.66,305.96,306.37,306.59,307.00,308.50,310.48,312.67,312.15,312.80,313.68,316.64,320.89,325.26,328.08,330.39,331.61,334.02,336.22,337.65,340.75,344.39,347.70,350.70,353.89,356.86,359.79,362.97,366.26,369.24,372.37,378.17,394.91,405.08,405.01,397.36,388.76,391.27,395.19,398.96,401.49,403.06,404.46,405.90,407.35,409.48,412.13,413.89,415.13,416.77,419.32,422.90,426.05,427.36,427.50,427.32,429.13,430.48,432.34,433.89,434.62,434.63,434.16,433.17,432.50,434.14,433.22,429.67,426.28,426.31,427.31,428.54,433.11,438.14,442.71,448.99,454.85,457.35,457.57,459.84,461.33,466.86,475.01,481.54,485.56,488.30,489.98,488.75,484.59,479.61,483.63,485.91,485.46,485.82,485.61,483.77,480.01,471.04,469.21,470.78,474.16,478.18,483.84,491.76,501.35
e,e,0.84,1.27,1.22,4.07,9.00,15.38,22.66,26.24,28.07,31.41,31.86,30.37,29.15,26.63,24.45,29.86,42.38,48.87,51.77,53.49,55.24,56.98,58.60,60.30,61.93,63.48,65.17,66.81,68.27,69.72,71.51,73.38,75.33,77.60,80.05,83.03,85.92,88.47,89.36,87.97,90.33,94.00,96.98,98.76,100.48,102.26,104.00,105.70,107.29,108.78,110.31,112.37,114.56,116.77,118.96,121.09,123.12,125.25,127.38,129.83,132.30,134.72,137.05,139.28,141.39,143.41,145.62,147.74,149.80,152.42,155.16,157.86,160.43,162.80,165.20,167.52,169.20,170.99,173.06,175.13,177.28,179.56,181.77,184.11,186.98,190.68,195.40,199.51,201.13,202.42,204.17,205.94,207.72,209.51,211.38,213.31,215.76,218.25,220.45,222.13,223.45,225.05,227.16,229.51,231.67,233.53,235.08,236.92,238.61,239.35,240.29,241.21,242.48,244.28,246.24,248.53,250.79,252.71,254.33,255.91,257.83,260.00,262.02,264.01,265.97,267.89,269.38,270.64,273.06,275.58,278.05,280.23,281.90,283.62,284.96,285.98,287.03,288.25,289.38,290.99,293.18,295.41,296.60,297.70,298.99,299.12,298.22,301.08,303.15,303.20,303.56,303.81,303.77,303.93,304.90,307.11,309.08,308.63,309.86,311.48,315.17,318.32,320.33,322.84,326.08,329.99,332.52,334.13,337.52,340.90,343.63,346.75,349.80,352.84,355.66,358.09,360.58,363.57,366.18,369.23,375.74,390.19,395.59,390.39,387.37,385.82,389.07,392.73,395.72,397.46,398.95,400.22,401.97,404.08,406.28,408.68,410.15,411.71,413.49,416.09,419.45,422.44,423.65,423.57,423.83,424.64,425.21,427.32,428.93,429.18,429.50,429.11,428.27,427.15,427.73,426.34,423.93,420.80,421.98,423.04,424.60,428.96,432.76,435.53,442.33,447.00,447.34,448.08,451.08,452.89,459.32,468.17,474.36,477.37,479.90,482.07,481.88,478.25,473.36,477.60,479.13,477.89,477.84,478.48,476.55,473.47,468.80,462.61,462.95,466.33,469.98,473.83,479.53,487.41
e,e,e,e,e,1.80,5.41,10.60,18.86,23.04,26.03,28.09,27.36,25.23,23.66,22.85,22.32,34.56,43.98,48.50,51.23,53.09,54.81,56.41,58.01,59.61,61.27,62.92,64.63,66.31,67.78,69.16,70.68,72.50,74.37,76.53,78.96,81.54,84.22,85.10,83.81,86.09,91.27,93.61,95.40,97.14,98.98,100.75,102.39,104.02,105.62,107.16,108.89,110.79,112.86,115.42,117.74,120.12,122.23,124.52,126.95,129.46,131.74,134.02,136.28,138.44,140.55,142.77,144.85,146.86,148.75,150.98,153.71,156.55,159.61,162.07,164.37,166.46,168.25,170.06,172.17,174.33,176.43,178.10,179.73,182.87,186.65,190.46,194.03,197.12,198.95,200.83,202.64,204.31,206.07,207.85,209.70,211.54,213.80,216.05,218.28,219.93,221.18,223.06,225.30,227.59,229.68,230.88,232.07,233.75,235.17,236.29,237.25,238.49,240.10,242.02,244.27,246.65,248.65,250.36,252.00,253.86,256.01,258.15,260.23,262.07,263.79,265.26,266.79,268.53,270.75,272.95,275.41,277.70,279.96,281.72,282.86,283.84,285.01,286.29,287.36,288.30,289.63,291.68,293.12,294.47,295.58,294.44,294.94,298.77,300.46,300.72,301.08,301.25,301.10,300.89,301.20,303.36,304.62,305.06,307.19,310.13,313.02,315.77,318.11,321.16,325.54,328.55,330.60,333.67,336.48,339.11,341.83,345.50,349.35,352.13,354.41,356.56,358.19,360.62,362.91,365.40,371.48,381.11,383.38,379.85,380.76,383.09,386.66,389.96,391.42,392.45,394.22,396.19,398.51,400.66,402.66,404.50,406.22,408.05,409.81,412.07,415.43,418.35,419.84,419.78,419.98,419.96,419.88,421.54,423.55,423.55,423.60,423.42,423.28,422.79,421.69,419.52,417.77,415.91,417.44,418.61,420.15,423.69,426.51,429.45,436.04,436.94,436.73,438.55,440.48,444.90,453.34,460.23,466.68,470.61,473.42,474.94,473.96,470.10,466.96,470.96,471.30,470.76,469.29,470.49,469.63,467.40,463.69,458.66,457.24,459.27,461.79,464.73,467.89,471.21
e,e,e,e,e,1.73,1.90,5.94,11.94,20.36,23.36,23.18,22.39,20.27,18.28,18.43,23.10,38.29,44.18,48.02,50.86,52.64,54.24,55.85,57.45,59.09,60.81,62.47,64.14,65.75,67.05,68.15,69.50,71.52,73.41,75.27,77.62,80.16,82.38,81.45,80.26,85.29,89.88,91.96,93.85,95.80,97.73,99.44,100.93,102.42,103.94,105.05,106.62,108.77,111.43,114.13,116.81,119.47,121.80,124.13,126.42,128.63,130.88,133.16,135.42,137.68,139.93,142.00,143.75,145.82,147.83,149.80,152.39,155.59,159.13,161.72,163.14,165.25,167.38,169.22,171.29,173.38,174.95,176.49,179.10,182.68,186.17,189.41,191.96,194.49,196.82,199.05,200.90,202.66,204.43,206.22,207.94,209.55,211.46,213.68,215.75,217.27,218.88,221.07,223.15,225.16,226.85,227.95,229.12,230.47,232.12,233.55,234.42,235.78,237.65,240.01,242.43,244.78,246.72,248.27,249.88,251.81,253.69,255.50,257.54,260.03,261.82,263.06,264.74,266.90,268.44,270.36,272.75,275.13,277.45,279.28,280.65,281.73,283.05,284.29,285.00,285.70,286.96,288.38,289.81,291.31,292.16,290.23,291.57,294.39,295.54,295.36,295.88,296.75,296.75,297.14,297.69,299.62,300.69,302.94,306.53,310.09,312.96,315.66,318.39,321.41,323.74,325.50,329.27,331.49,333.78,336.52,339.83,345.55,351.03,354.07,356.22,355.93,354.88,357.16,359.26,361.50,366.79,373.29,375.93,375.58,377.77,380.86,384.28,386.44,387.34,388.16,390.10,392.32,394.37,396.48,398.50,400.32,402.25,404.12,405.73,407.75,410.66,413.20,414.87,414.75,415.82,416.27,416.20,417.03,418.00,418.25,418.04,417.71,417.96,418.14,416.90,415.32,412.02,410.87,412.72,414.02,415.60,418.05,420.89,424.52,426.98,427.57,428.86,431.13,431.65,436.76,445.99,454.71,459.35,463.87,467.25,468.00,467.08,463.98,461.05,464.91,465.27,465.24,463.65,463.56,464.21,463.16,460.13,455.37,452.86,452.84,454.36,456.35,457.46,459.53
e,e,e,e,e,2.90,0.72,2.32,6.13,12.05,17.80,17.50,17.61,16.23,14.96,19.76,30.08,41.38,45.02,48.31,50.43,52.09,53.70,55.30,56.90,58.64,60.49,62.23,63.75,64.42,64.39,65.10,66.85,69.67,71.73,72.47,74.25,76.75,79.22,77.63,80.94,84.67,88.11,90.62,92.73,94.75,96.41,97.62,98.69,100.69,101.68,102.55,104.99,107.76,110.74,113.66,116.51,119.00,121.27,123.48,125.65,127.84,130.04,132.25,134.48,136.69,138.93,140.69,142.39,144.47,146.63,148.85,151.08,154.07,157.16,159.64,161.10,163.72,166.39,168.33,170.31,171.80,173.42,176.11,179.31,182.51,185.42,187.95,190.04,192.48,194.81,196.94,199.04,200.92,202.73,204.40,205.89,207.44,209.20,211.32,213.25,214.64,216.56,218.67,220.54,222.43,223.89,225.14,226.46,227.78,229.33,230.78,231.59,233.13,235.39,238.28,241.06,243.01,244.72,246.34,247.94,249.44,250.83,252.33,254.52,257.32,259.46,261.06,263.11,264.52,266.33,268.23,270.40,272.45,273.69,275.01,277.00,279.38,281.30,282.17,282.39,283.04,284.13,285.34,286.57,288.06,288.84,287.37,288.44,289.98,290.15,289.29,289.57,290.54,291.67,293.05,294.79,296.59,298.79,302.18,305.90,309.54,312.50,315.27,317.50,319.02,320.75,324.33,327.29,329.00,330.95,333.75,338.36,345.85,352.19,356.23,358.95,353.67,351.38,354.02,356.32,358.49,362.68,368.97,370.95,372.04,375.06,378.56,381.66,382.75,383.57,384.69,386.60,388.23,389.91,392.06,394.14,396.03,397.88,399.99,401.67,404.11,406.59,408.59,409.75,410.00,410.86,412.55,412.64,412.10,412.19,413.24,412.92,412.19,411.50,411.79,412.09,411.39,408.62,407.19,408.42,409.61,411.07,413.72,416.72,418.82,418.75,419.03,421.53,422.36,423.09,430.06,437.71,447.97,452.95,457.93,460.80,461.32,461.11,458.44,456.82,459.73,459.95,460.22,459.07,457.04,458.45,457.90,453.86,448.92,446.41,445.46,447.68,449.87,452.59,455.67
e,e,e,e,e,e,e,0.85,2.33,5.72,8.88,11.53,12.98,11.82,14.44,25.51,38.36,42.94,45.49,47.58,49.58,51.37,53.04,54.71,56.33,58.07,59.84,61.60,62.18,62.07,61.67,61.73,62.86,63.59,65.89,67.13,68.53,70.09,72.54,76.96,81.66,84.65,87.68,89.67,91.72,93.52,93.79,94.01,94.97,97.05,99.74,102.43,105.46,108.19,110.80,113.31,115.73,118.14,120.46,122.60,124.72,126.90,129.16,131.33,133.46,135.52,137.28,139.06,141.08,143.28,145.42,147.50,149.35,151.54,154.16,156.56,159.23,162.27,165.15,167.09,168.38,170.26,172.83,175.91,179.07,181.73,184.18,186.34,188.38,190.57,192.76,194.84,196.95,199.02,200.89,202.25,203.60,205.21,207.04,208.95,210.65,212.11,214.01,215.94,217.90,219.65,220.98,222.56,224.00,225.16,226.50,227.73,228.79,230.71,233.38,236.31,238.92,240.91,242.65,244.37,245.80,247.01,248.13,249.38,251.47,254.30,256.63,259.31,260.77,261.66,264.03,265.99,267.94,269.32,269.72,270.60,272.83,275.80,278.44,279.74,279.90,280.25,281.14,282.12,283.28,284.72,285.76,284.34,285.23,287.08,286.78,286.23,286.74,287.46,288.59,290.33,292.20,294.64,297.89,301.32,305.01,308.68,311.88,313.45,314.67,317.92,321.06,323.29,325.25,327.00,328.59,331.17,337.84,346.47,352.47,356.56,357.72,349.44,349.74,352.91,355.70,358.64,362.46,365.17,366.65,369.37,372.69,375.60,377.81,378.86,379.73,381.20,382.73,383.89,385.55,387.69,389.73,391.28,392.90,394.83,397.23,400.46,402.76,404.06,403.93,405.92,406.08,408.22,408.48,407.50,407.39,408.69,408.38,407.50,406.52,406.48,407.39,407.35,405.04,403.55,404.46,405.51,407.42,410.10,412.96,415.12,413.39,412.07,414.02,414.71,417.31,424.52,432.73,439.67,445.94,452.74,455.45,456.19,455.55,452.38,453.28,454.86,454.84,455.02,454.26,450.76,451.82,451.42,444.28,439.12,438.63,439.58,442.74,446.38,450.23,453.48
e,e,e,e,e,e,e,e,0.66,1.94,4.70,7.48,8.71,8.77,14.61,27.91,40.75,42.59,43.49,45.01,47.44,50.23,52.14,53.53,53.89,55.20,57.63,59.54,58.30,55.47,53.91,53.80,55.20,56.76,58.86,62.25,67.63,70.49,74.40,79.91,82.58,85.11,86.66,87.95,90.00,91.08,90.49,90.38,92.42,96.75,101.19,103.62,105.77,107.83,109.86,112.10,114.52,116.95,119.31,121.48,123.69,125.94,128.11,130.21,132.08,133.65,135.45,137.65,140.03,141.94,143.85,145.86,147.55,149.52,152.40,155.60,159.09,162.01,163.63,164.64,166.63,169.50,172.34,175.27,178.01,180.56,182.78,184.86,186.75,188.66,190.59,192.73,194.67,196.58,198.42,200.03,201.32,202.96,204.55,206.17,207.80,209.47,211.31,213.31,215.34,217.06,218.50,220.18,221.49,222.33,223.45,224.68,226.46,228.57,231.08,233.86,236.23,238.52,240.66,242.27,243.47,244.61,245.81,247.34,249.27,251.98,254.68,256.64,257.68,259.86,261.90,263.62,265.39,266.75,267.01,267.62,269.33,271.65,274.53,276.30,276.91,277.44,278.34,279.19,280.08,281.39,282.82,281.41,282.06,284.25,283.80,283.54,284.19,285.01,286.38,288.11,290.35,293.45,296.74,300.00,303.52,307.10,309.51,311.11,314.25,317.03,319.14,321.06,323.05,325.01,326.76,328.78,334.28,343.72,350.23,352.77,349.36,344.76,348.32,351.15,351.66,355.11,358.79,361.05,363.35,366.45,369.12,371.24,373.27,374.44,375.39,377.37,378.56,379.53,381.25,383.23,385.08,386.56,388.00,389.78,392.42,395.99,398.77,399.75,399.94,401.76,401.49,402.96,403.27,402.90,403.22,404.58,404.41,403.43,402.34,401.73,402.47,403.25,401.29,399.89,400.47,401.72,404.39,407.20,409.84,411.84,410.85,407.92,408.45,409.60,414.62,422.58,429.70,435.09,438.98,445.46,450.53,451.42,449.35,444.29,449.07,449.82,449.13,448.64,447.43,442.98,440.64,441.60,437.61,435.07,434.57,436.70,440.19,444.25,448.00,451.24
e,e,e,e,e,e,e,e,e,0.31,1.48,3.98,5.07,7.37,11.07,17.29,28.43,35.80,39.99,42.08,44.63,48.38,50.72,50.26,49.96,48.84,47.46,47.18,46.22,46.47,49.89,54.77,58.38,61.04,66.25,70.50,72.07,73.65,76.87,80.31,83.05,84.13,83.69,83.76,85.39,85.80,87.89,91.20,93.92,97.73,100.48,102.63,104.66,106.66,108.68,110.91,113.38,115.81,118.16,120.45,122.68,124.80,126.67,128.49,129.97,131.82,134.12,136.49,138.90,140.88,142.59,144.45,146.86,149.41,152.34,155.36,158.20,160.38,160.89,162.81,165.68,168.57,171.36,174.03,176.64,179.14,181.31,183.09,184.74,186.57,188.57,190.50,191.87,193.86,196.10,197.50,198.79,200.31,201.62,203.19,205.19,206.87,208.73,210.80,212.95,214.70,216.23,217.78,218.95,219.56,220.53,221.96,224.01,226.36,228.97,231.24,233.51,235.93,238.18,239.86,241.10,242.32,243.85,245.75,247.86,250.04,251.89,253.35,255.25,257.61,259.67,261.36,263.08,264.28,264.47,265.03,266.69,268.70,271.36,272.77,273.79,274.78,275.72,276.74,277.59,278.71,279.97,278.85,279.95,281.75,280.85,280.91,281.66,282.64,284.22,286.41,289.13,292.29,295.46,298.61,301.89,304.79,307.07,310.49,313.07,315.19,317.16,318.94,320.94,322.99,325.01,327.25,330.21,339.23,345.23,344.55,340.15,341.47,345.33,346.98,347.58,351.54,355.28,357.84,360.18,362.87,365.28,367.49,369.00,369.96,371.24,373.49,374.44,375.63,377.39,378.94,380.51,382.15,384.15,386.38,388.81,391.78,394.74,395.67,396.41,397.40,396.39,397.24,397.93,398.40,399.08,400.49,400.39,399.29,398.13,397.04,397.80,398.86,396.98,396.11,396.64,398.51,401.50,403.42,405.46,407.30,406.76,404.81,405.54,407.99,413.57,420.68,426.44,430.65,434.13,437.96,441.57,442.95,442.14,437.29,440.94,443.15,441.85,439.69,438.58,437.67,435.24,434.84,431.66,431.10,430.72,432.86,437.50,441.82,445.16,448.62
e,e,e,e,e,e,e,e,e,e,e,0.98,2.54,4.90,6.96,9.19,13.06,17.68,24.13,32.99,39.48,43.80,42.46,39.21,36.95,35.53,37.50,41.41,46.48,53.32,59.96,61.77,63.67,66.77,70.03,72.13,73.90,75.68,77.78,79.75,81.97,81.85,79.78,78.69,80.19,85.27,90.47,92.64,94.52,97.33,99.42,101.44,103.45,105.52,107.72,110.01,112.44,114.82,117.12,119.34,121.43,123.16,124.77,126.47,128.43,130.70,133.03,135.38,137.70,139.68,141.47,143.51,145.95,148.60,151.19,153.69,156.01,157.22,158.94,161.91,164.77,167.49,170.08,172.56,174.94,177.24,179.31,180.85,182.63,184.55,186.35,187.66,189.28,191.84,193.38,194.36,195.87,197.25,198.72,200.80,202.66,204.29,206.36,208.66,210.75,212.36,213.84,215.28,216.55,217.38,218.38,219.69,221.74,224.40,227.01,228.88,230.95,233.16,235.16,237.03,238.94,240.36,242.11,244.02,245.76,247.59,249.32,250.98,253.01,255.38,257.48,259.19,261.00,261.87,261.87,262.30,264.21,266.50,268.49,269.81,270.96,272.07,273.10,274.18,275.17,276.19,276.57,275.77,277.72,278.46,277.87,278.20,279.16,280.37,282.49,285.31,288.49,291.56,294.51,297.43,300.11,302.04,304.81,308.54,311.38,313.50,315.37,316.87,318.90,321.05,323.06,325.28,327.65,331.97,335.86,335.77,335.63,338.83,341.60,342.72,345.84,349.70,352.77,355.31,357.48,359.56,361.94,364.01,364.87,365.79,367.94,369.72,370.45,371.97,373.68,375.20,376.67,378.40,381.13,383.57,386.18,388.82,391.31,391.91,392.54,392.88,391.31,391.49,393.22,394.23,394.85,395.75,395.51,394.75,393.92,392.48,392.10,392.40,391.86,391.94,392.94,395.42,397.80,399.17,400.25,401.65,401.89,401.72,403.62,407.31,412.13,417.80,422.26,426.31,430.59,434.31,435.80,435.98,435.76,432.51,435.75,436.88,436.44,435.04,433.84,433.94,431.92,430.55,427.64,426.84,426.80,429.25,433.67,438.25,441.96,445.25
e,e,e,e,e,e,e,e,e,e,e,e,0.50,1.92,3.69,5.62,7.54,10.00,13.87,19.43,25.39,29.62,27.40,26.81,29.12,34.55,42.82,48.07,52.54,58.74,61.58,63.66,65.64,67.48,69.23,71.07,72.70,74.46,76.38,78.58,80.63,78.49,70.99,77.59,82.72,86.44,88.38,90.13,92.52,96.15,98.36,100.23,102.40,104.66,106.93,109.21,111.53,113.80,115.96,118.02,119.90,121.41,123.02,125.13,127.41,129.65,131.94,134.20,136.47,138.45,140.34,142.58,144.93,147.30,149.29,151.39,152.89,154.80,157.96,161.04,163.69,166.29,168.66,170.69,172.85,174.95,176.78,178.69,180.55,182.27,183.61,185.01,187.23,189.35,190.16,191.33,192.91,194.56,196.55,198.55,199.97,202.10,204.52,206.84,208.67,209.97,211.37,212.72,214.07,215.43,216.98,218.50,220.26,222.75,225.07,226.89,228.58,230.25,232.27,234.60,236.93,238.51,240.08,241.63,243.34,245.18,247.08,248.83,250.75,253.19,254.93,256.40,257.95,258.78,258.58,259.69,261.88,263.79,265.56,267.06,268.16,269.24,270.59,271.76,272.34,273.26,272.58,272.82,274.17,274.58,274.73,275.62,276.72,278.38,281.24,284.46,287.68,290.73,293.31,295.56,297.88,299.47,302.10,306.12,309.84,311.89,313.36,314.74,316.60,318.94,320.98,322.91,324.77,326.92,328.48,329.79,332.24,335.82,337.52,340.36,343.70,347.21,350.54,352.97,354.89,357.10,359.21,360.55,360.90,362.22,364.78,366.07,367.08,368.60,370.11,371.57,373.07,375.06,377.84,380.87,383.57,385.80,387.79,387.47,388.44,388.52,387.69,387.76,389.06,389.97,390.27,390.73,390.50,389.94,389.23,387.19,385.80,386.66,387.13,387.32,389.51,392.38,394.45,395.17,395.97,397.39,398.54,399.32,402.06,406.36,411.23,415.31,418.70,422.93,427.48,430.67,431.30,430.64,430.15,428.14,430.96,431.33,431.66,430.73,429.05,429.32,428.73,425.77,423.77,422.54,423.32,426.32,429.92,434.14,438.07,441.63
